Date,Time,Open,High,Low,Close,Volume,Turnover,OpenInterest
8/6/94,0:00:00,3747.02,3747.02,3747.02,3747.02,0,0,0
8/8/94,0:00:00,3747.02,3761.58,3747.02,3760.61,0,0,0
8/9/94,0:00:00,3757.05,3760.61,3747.02,3751.22,0,0,0
8/10/94,0:00:00,3753.81,3770.32,3743.78,3766.76,0,0,0
8/11/94,0:00:00,3766.76,3773.56,3763.52,3764.17,0,0,0
8/12/94,0:00:00,3759.96,3770.97,3736.66,3770.97,0,0,0
8/15/94,0:00:00,3767.41,3774.53,3760.29,3769.68,0,0,0
8/16/94,0:00:00,3773.89,3781.01,3760.29,3760.29,0,0,0
8/17/94,0:00:00,3784.57,3784.57,3784.57,3784.57,0,0,0
8/18/94,0:00:00,3784.57,3784.57,3784.57,3784.57,0,0,0
8/19/94,0:00:00,3755.43,3760.61,3741.52,3749.93,0,0,0
8/20/94,0:00:00,3747.99,3761.91,3747.67,3755.11,0,0,0
8/22/94,0:00:00,3755.11,3755.11,3737.63,3747.99,0,0,0
8/23/94,0:00:00,3744.43,3774.86,3742.16,3774.21,0,0,0
8/24/94,0:00:00,3775.83,3795.25,3773.88,3795.25,0,0,0
8/25/94,0:00:00,3798.81,3855.79,3796.55,3847.37,0,0,0
8/26/94,0:00:00,3848.99,3882.34,3827.95,3882.34,0,0,0
8/27/94,0:00:00,3881.05,3881.05,3881.05,3881.05,0,0,0
8/29/94,0:00:00,3881.05,3910.83,3881.05,3897.56,0,0,0
9/1/94,0:00:00,3913.42,3913.42,3887.84,3895.29,0,0,0
9/2/94,0:00:00,3898.85,3919.24,3889.14,3895.29,0,0,0
9/3/94,0:00:00,3894.97,3900.47,3880.72,3885.58,0,0,0
9/4/94,0:00:00,3885.58,3885.58,3885.58,3885.58,0,0,0
9/5/94,0:00:00,3885.58,3885.58,3885.58,3885.58,0,0,0
9/6/94,0:00:00,3885.58,3893.65,3877.5,3881.2,0,0,0
9/8/94,0:00:00,3907.44,3909.46,3905.42,3907.11,0,0,0
9/9/94,0:00:00,3908.46,3908.46,3866.4,3870.44,0,0,0
9/10/94,0:00:00,3873.47,3877.17,3858.66,3874.81,0,0,0
9/11/94,0:00:00,3874.81,3874.81,3874.81,3874.81,0,0,0
9/12/94,0:00:00,3874.81,3880.53,3870.1,3871.11,0,0,0
9/13/94,0:00:00,3860.34,3892.64,3860.34,3878.85,0,0,0
9/14/94,0:00:00,3879.52,3883.56,3873.8,3878.18,0,0,0
9/15/94,0:00:00,3878.85,3915.52,3894.32,3912.15,0,0,0
9/16/94,0:00:00,3914.17,3953.88,3912.83,3919.56,0,0,0
9/17/94,0:00:00,3919.9,3939.41,3919.22,3933.35,0,0,0
9/18/94,0:00:00,3933.35,3933.35,3933.35,3933.35,0,0,0
9/19/94,0:00:00,3933.35,3953.2,3929.65,3947.14,0,0,0
9/20/94,0:00:00,3948.49,3951.52,3898.36,3899.37,0,0,0
9/21/94,0:00:00,3901.05,3903.75,3835.12,3847.9,0,0,0
9/22/94,0:00:00,3851.26,3864.72,3841.51,3856.31,0,0,0
9/23/94,0:00:00,3852.95,3856.31,3835.78,3839.15,0,0,0
9/24/94,0:00:00,3834.1,3842.18,3820.31,3831.75,0,0,0
9/25/94,0:00:00,3831.75,3831.75,3831.75,3831.75,0,0,0
9/26/94,0:00:00,3831.75,3842.18,3826.37,3830.07,0,0,0
9/27/94,0:00:00,3828.38,3871.11,3849.24,3862.36,0,0,0
9/30/94,0:00:00,3854.63,3870.77,3843.86,3864.04,0,0,0
10/1/94,0:00:00,3866.06,3875.48,3839.15,3843.19,0,0,0
10/3/94,0:00:00,3843.19,3851.93,3826.37,3834.78,0,0,0
10/4/94,0:00:00,3835.45,3857.99,3842.85,3845.54,0,0,0
10/5/94,0:00:00,3801.13,3802.14,3760.76,3773.88,0,0,0
10/6/94,0:00:00,3770.85,3795.07,3774.89,3785.65,0,0,0
10/7/94,0:00:00,3787,3797.09,3769.17,3790.03,0,0,0
10/8/94,0:00:00,3797.43,3797.43,3797.43,3797.43,0,0,0
10/10/94,0:00:00,3797.43,3816.27,3798.1,3810.89,0,0,0
10/11/94,0:00:00,3812.57,3871.78,3821.32,3868.41,0,0,0
10/12/94,0:00:00,3876.83,3878.85,3862.03,3874.81,0,0,0
10/13/94,0:00:00,3875.82,3927.3,3875.15,3915.52,0,0,0
10/14/94,0:00:00,3916.53,3921.58,3878.85,3887.6,0,0,0
10/15/94,0:00:00,3910.47,3910.47,3910.47,3910.47,0,0,0
10/16/94,0:00:00,3910.47,3910.47,3910.47,3910.47,0,0,0
10/17/94,0:00:00,3910.47,3926.96,3901.05,3918.88,0,0,0
10/18/94,0:00:00,3918.88,3933.69,3907.78,3907.78,0,0,0
10/19/94,0:00:00,3907.45,3922.25,3901.05,3913.84,0,0,0
10/20/94,0:00:00,3913.84,3949.5,3907.11,3907.45,0,0,0
10/21/94,0:00:00,3911.82,3912.49,3886.25,3891.3,0,0,0
10/22/94,0:00:00,3891.3,3891.3,3891.3,3891.3,0,0,0
10/24/94,0:00:00,3891.3,3911.48,3885.92,3896.01,0,0,0
10/25/94,0:00:00,3889.62,3889.95,3832.43,3855.3,0,0,0
